
43 grandfathered oversized file(s):
  ⚠ grandfathered: js/adminListStore.js (1033 lines)
  ⚠ grandfathered: js/app/authSessionCoordinator.js (1743 lines)
  ⚠ grandfathered: js/app/feedCoordinator.js (1767 lines)
  ⚠ grandfathered: js/app/playbackCoordinator.js (1217 lines)
  ⚠ grandfathered: js/app.js (5133 lines)
  ⚠ grandfathered: js/channelProfile.js (5579 lines)
  ⚠ grandfathered: js/feedEngine/stages.js (1350 lines)
  ⚠ grandfathered: js/historyView.js (2547 lines)
  ⚠ grandfathered: js/index.js (1409 lines)
  ⚠ grandfathered: js/nostr/client.js (4001 lines)
  ⚠ grandfathered: js/nostr/managers/SignerManager.js (1107 lines)
  ⚠ grandfathered: js/nostr/nip46Client.js (2104 lines)
  ⚠ grandfathered: js/nostr/nip46Connector.js (1094 lines)
  ⚠ grandfathered: js/nostr/nip71.js (1600 lines)
  ⚠ grandfathered: js/nostr/publishHelpers.js (1415 lines)
  ⚠ grandfathered: js/nostr/watchHistory.js (2211 lines)
  ⚠ grandfathered: js/nostrEventSchemas.js (3192 lines)
  ⚠ grandfathered: js/payments/nwcClient.js (1642 lines)
  ⚠ grandfathered: js/services/authService.js (1321 lines)
  ⚠ grandfathered: js/services/commentThreadService.js (1122 lines)
  ⚠ grandfathered: js/services/hashtagPreferencesService.js (1435 lines)
  ⚠ grandfathered: js/services/moderationService.js (2557 lines)
  ⚠ grandfathered: js/services/nostrService.js (2227 lines)
  ⚠ grandfathered: js/services/playbackService.js (1316 lines)
  ⚠ grandfathered: js/services/r2Service.js (1194 lines)
  ⚠ grandfathered: js/state/cache.js (1829 lines)
  ⚠ grandfathered: js/subscriptions.js (2410 lines)
  ⚠ grandfathered: js/ui/applicationBootstrap.js (1169 lines)
  ⚠ grandfathered: js/ui/components/EditModal.js (1130 lines)
  ⚠ grandfathered: js/ui/components/RevertModal.js (1509 lines)
  ⚠ grandfathered: js/ui/components/SimilarContentCard.js (1303 lines)
  ⚠ grandfathered: js/ui/components/UploadModal.js (1320 lines)
  ⚠ grandfathered: js/ui/components/VideoCard.js (3130 lines)
  ⚠ grandfathered: js/ui/components/VideoModal.js (4976 lines)
  ⚠ grandfathered: js/ui/loginModalController.js (2574 lines)
  ⚠ grandfathered: js/ui/moreMenuController.js (1601 lines)
  ⚠ grandfathered: js/ui/overlay/popoverEngine.js (1070 lines)
  ⚠ grandfathered: js/ui/profileModalController.js (5541 lines)
  ⚠ grandfathered: js/ui/views/VideoListView.js (1392 lines)
  ⚠ grandfathered: js/ui/zapController.js (1206 lines)
  ⚠ grandfathered: js/userBlocks.js (2302 lines)
  ⚠ grandfathered: js/watchHistoryService.js (1400 lines)
  ⚠ grandfathered: js/webtorrent.js (1038 lines)

No violations. 43 grandfathered file(s) remain as decomposition targets.
