 INFO  Accepting connections at http://localhost:8000
 HTTP  2/16/2026 6:43:48 PM ::1 HEAD /
 HTTP  2/16/2026 6:43:48 PM ::1 Returned 200 in 18 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /?__test__=1
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 27 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /css/tailwind.generated.css
 HTTP  2/16/2026 6:44:12 PM ::1 GET /css/docs.css
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 12 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/index.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /assets/svg/default-profile.svg
 HTTP  2/16/2026 6:44:12 PM ::1 GET /vendor/marked.min.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /vendor/highlight.min.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /config/validate-config.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/bufferPolyfill.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/applicationContext.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/services/nostrService.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/services/r2Service.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/services/s3UploadService.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/viewManager.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/designSystem.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/themeController.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/hashView.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/utils/logger.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/search/searchFilters.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/search/searchFilterState.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/ui/components/staticModalAccessibility.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/config.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/hashChangeHandler.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/services/authService.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/services/authProviders/index.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/accessControl.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/nostrClientFacade.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/userBlocks.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/relayManager.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
